Name,Age,Salary,City
Suresh,,114807.0,Hyderabad
Sneha,46.0,85560.0,Delhi
Ravi!!!,,136673.0,Chennai
Suresh!!!,,,Chennai
Sneha!!!,47.0,55992.0,Chennai
Amit,44.0,,Hyderabad
Priya,51.0,145891.0,Chennai
Rahul,,,Mumbai
Amit,37.0,,Hyderabad
Manikanta,,,Pune
Manikanta,60.0,,Delhi
Ravi,,,Hyderabad
Amit,51.0,,Hyderabad
Manikanta,41.0,,Delhi
Rahul!!!,19.0,,  Mumbai  
Priya,25.0,,Bangalore
Ravi,,86737.0,Chennai
Sneha,36.0,,Chennai
Ravi,24.0,142730.0,Mumbai
Kiran,,86811.0,Pune
Sneha,,80668.0,Mumbai
Rahul,,,Delhi
Rahul,38.0,,Mumbai
Rahul,48.0,144872.0,Bangalore
Sneha,52.0,56638.0,  Bangalore  
Amit,19.0,,Chennai
Priya,,,Bangalore
Ravi,35.0,,Bangalore
Amit,,79963.0,Delhi
Kiran,22.0,134985.0,Hyderabad
Rahul,53.0,,  Mumbai  
Suresh,,58603.0,Hyderabad
Sneha,18.0,,Hyderabad
Manikanta,,120694.0,Pune
Manikanta,,,  Delhi  
Kiran,31.0,111930.0,Delhi
Suresh,38.0,25992.0,Delhi
Suresh,54.0,23828.0,Mumbai
Suresh,40.0,123617.0,Hyderabad
Manikanta,40.0,,Delhi
Manikanta,42.0,127489.0,Delhi
Ravi,,,Mumbai
Priya,24.0,80612.0,Mumbai
Sneha,26.0,,Hyderabad
Suresh,,,  Hyderabad  
Manikanta,,139022.0,Bangalore
Rahul,,,Pune
Ravi,26.0,,Bangalore
Rahul,49.0,,Hyderabad
Suresh!!!,46.0,,Chennai
Manikanta,,53325.0,Chennai
Sneha,,,Bangalore
Suresh,,,Mumbai
Kiran,54.0,,  Delhi  
Amit,,,Mumbai
Priya!!!,46.0,,Bangalore
Priya,27.0,102269.0,Delhi
Suresh,,,Chennai
Sneha,,142433.0,Chennai
Priya,21.0,112350.0,Bangalore
Amit,,,Pune
Amit,,23064.0,Mumbai
Manikanta,48.0,,Bangalore
Rahul,57.0,112729.0,Delhi
Manikanta,,142500.0,Bangalore
Ravi,39.0,28569.0,Bangalore
Sneha,,,Delhi
Amit,,,Bangalore
Priya,,,Chennai
Suresh,44.0,,Delhi
Sneha,,31654.0,Hyderabad
Priya,41.0,,Delhi
Manikanta,,115692.0,Chennai
Amit,52.0,87361.0,  Mumbai  
Priya,,,Pune
Sneha,25.0,,  Mumbai  
Suresh,36.0,,Mumbai
Kiran,60.0,136112.0,Hyderabad
Kiran,,,Hyderabad
Amit,,,Bangalore
Manikanta,51.0,136777.0,Chennai
Amit,28.0,144379.0,Pune
Sneha,28.0,,Mumbai
Kiran!!!,34.0,93779.0,Hyderabad
Manikanta,23.0,125332.0,Delhi
Amit,,37835.0,Delhi
Kiran,,,Bangalore
Rahul,42.0,,Pune
Kiran,56.0,,Pune
Amit,,,Hyderabad
Ravi,56.0,,Bangalore
Ravi,59.0,96440.0,Bangalore
Rahul,,,  Delhi  
Amit,,,Chennai
Kiran!!!,30.0,49333.0,Delhi
Suresh,20.0,,Pune
Suresh,,,Delhi
Ravi,,128903.0,Hyderabad
Suresh,32.0,45275.0,Hyderabad
Sneha,,112323.0,Chennai
Ravi,29.0,,Chennai
Rahul,27.0,122069.0,Pune
Suresh,44.0,,Pune
Manikanta,37.0,137860.0,Delhi
Suresh,32.0,,Chennai
Priya,39.0,,Chennai
Manikanta,,,Chennai
